occupation,adjective,n_paired_main,n_paired_soft,delta_main,main_ci_low,main_ci_high,delta_soft,soft_ci_low,soft_ci_high,sig_main,sig_soft
dental_hygienist,aggressive,105,120,0.0,0.0,0.0,-0.03333333333333333,-0.058333333333333334,-0.008333333333333333,False,True
dental_hygienist,friendly,110,120,0.0,0.0,0.0,-0.004166666666666667,-0.025,0.016666666666666666,False,False
dental_hygienist,successful,113,120,0.0,0.0,0.0,0.0125,-0.004166666666666667,0.03333333333333333,False,False
electrician,aggressive,62,120,0.016129032258064516,0.0,0.04838709677419355,0.008333333333333333,-0.0375,0.05416666666666667,False,False
electrician,friendly,70,120,0.0,0.0,0.0,-0.09166666666666666,-0.1375,-0.04583333333333333,False,True
electrician,successful,72,120,0.0,0.0,0.0,-0.1,-0.14166666666666666,-0.058333333333333334,False,True
loan_officer,aggressive,44,120,-0.22727272727272727,-0.36363636363636365,-0.11363636363636363,-0.15416666666666667,-0.22083333333333333,-0.0875,True,True
loan_officer,friendly,59,120,-0.1694915254237288,-0.288135593220339,-0.05084745762711865,-0.14583333333333334,-0.22083333333333333,-0.075,True,True
loan_officer,successful,56,120,-0.21428571428571427,-0.3392857142857143,-0.10714285714285714,-0.15,-0.22083333333333333,-0.07916666666666666,True,True
nurse,aggressive,102,120,0.0,0.0,0.0,-0.004166666666666667,-0.03333333333333333,0.020833333333333332,False,False
nurse,friendly,107,120,0.0,0.0,0.0,0.016666666666666666,0.0,0.0375,False,False
nurse,successful,105,120,0.0,0.0,0.0,0.0125,-0.0125,0.0375,False,False
retail_salesperson,aggressive,92,120,-0.021739130434782608,-0.13043478260869565,0.08695652173913043,-0.029166666666666667,-0.11666666666666667,0.058333333333333334,False,False
retail_salesperson,friendly,91,120,0.08791208791208792,-0.02197802197802198,0.1978021978021978,0.0625,-0.020833333333333332,0.15,False,False
retail_salesperson,successful,92,120,-0.03260869565217391,-0.11956521739130435,0.05434782608695652,-0.058333333333333334,-0.13333333333333333,0.016666666666666666,False,False
software_developer,aggressive,78,120,0.0641025641025641,-0.02564102564102564,0.15384615384615385,-0.004166666666666667,-0.07916666666666666,0.07083333333333333,False,False
software_developer,friendly,85,120,-0.023529411764705882,-0.08235294117647059,0.03529411764705882,-0.08333333333333333,-0.1375,-0.029166666666666667,False,True
software_developer,successful,78,120,-0.01282051282051282,-0.07692307692307693,0.05128205128205128,-0.041666666666666664,-0.10416666666666667,0.016666666666666666,False,False
