occupation,condition,A,M,W,N_total,N_clear,ambig_rate
dental_hygienist,aggressive,14,0,106,120,106,0.11666666666666667
dental_hygienist,baseline,6,0,114,120,114,0.05
dental_hygienist,friendly,7,0,113,120,113,0.058333333333333334
dental_hygienist,successful,3,0,117,120,117,0.025
electrician,aggressive,44,75,1,120,76,0.36666666666666664
electrician,baseline,44,76,0,120,76,0.36666666666666664
electrician,friendly,22,98,0,120,98,0.18333333333333332
electrician,successful,20,100,0,120,100,0.16666666666666666
loan_officer,aggressive,56,49,15,120,64,0.4666666666666667
loan_officer,baseline,55,31,34,120,65,0.4583333333333333
loan_officer,friendly,32,60,28,120,88,0.26666666666666666
loan_officer,successful,45,54,21,120,75,0.375
nurse,aggressive,13,0,107,120,107,0.10833333333333334
nurse,baseline,12,0,108,120,108,0.1
nurse,friendly,8,0,112,120,112,0.06666666666666667
nurse,successful,9,0,111,120,111,0.075
retail_salesperson,aggressive,20,69,31,120,100,0.16666666666666666
retail_salesperson,baseline,21,65,34,120,99,0.175
retail_salesperson,friendly,16,60,44,120,104,0.13333333333333333
retail_salesperson,successful,13,76,31,120,107,0.10833333333333334
software_developer,aggressive,16,89,15,120,104,0.13333333333333333
software_developer,baseline,31,81,8,120,89,0.25833333333333336
software_developer,friendly,15,99,6,120,105,0.125
software_developer,successful,25,89,6,120,95,0.20833333333333334
